location,type,status
5757 South Cicero Ave,interior mural ,there
6405 South Kedzie Ave,outdoor Mural,unknown
6351 South Kedzie Ave,outdoor Mural,unknown
3134 West 63rd St,political/subversive,there
2795 South Damen Ave,altitude,unknown
825 West Sheridan Rd,Illegal Wall,unknown
3601 North Lincoln Avenue,tribute,there
4600 North Kenmore Ave,other/unknown,unknown
6904 North Glenwood Avenue,outdoor Mural,there
600 South Paulina St,interior mural ,there
2351 West 18th St,political/subversive,there
2120 South Canal St,other/unknown,gone
3130 West 27th St,permission wall ,there
73 East Lake St,altitude,unknown
1224 West Hubbard St,beautification,there
1600 West Cortez St,permission wall ,unknown
520 North Halsted St,outdoor mural,unknown
701 West Ohio St,outdoor Mural,unknown
1815 North Western Avenue,Outdoor Mural,there
1609 North Hoyne Avenue,tag/signature,unknown
2121 West North Avenue,beautification,there
1545 North Damen Avenue,advertisement,there
1524 North Damen Avenue,advertisement,there
2678 North Kedzie Avenue,Outdoor Mural,there
2590 North Milwaukee Avenue,Illegal Wall,unknown
3252 North Broadway St.,interior mural ,there
2700 Sourh Western Avenue,interior mural ,there
1119 West Cullerton St.,interior mural ,there
1362 E 59th St,interior mural ,there
W 31st St. & S Keeley St.,political/subversive,gone
N Damen Ave & W Chicago Ave.,permission wall ,unknown
N Damen Ave & W Division St,tag/signature,unknown
North Broadway & W Balmoral Ave,outdoor Mural,unknown
1900 Damen Ave,tag/signature,unknown
North Paulina St & W Roscoe St,tag/signature,unknown
3316 North Lincoln Ave,tag/signature,unknown
N Ashland Ave & W Division St.,tag/signature,unknown
Milwaukee Ave & N Ashland Ave.,tag/signature,unknown
I-94 & W Roosevelt Rd,tribute,unknown
1200 W Randolph Street,tag/signature,unknown
W Chicago Ave. & N Noble St.,tag/signature,unknown
W Grand Ave. & N Halsted St.,tag/signature,unknown
W 35th St. & S Wood St. ,tag/signature,gone
S Ashland Ave. & W Roosevelt St.,tag/signature,unknown
S Damen Ave. & W 35th St.,tag/signature,unknown
W Augusta Blvd. & N Wolcott Ave.,permission wall ,there
S Damen Ave. & S Blue Island Ave.,Illegal Wall,unknown
600 North Leavitt St.,Gang,unknown
3516 West Leland Ave.,Gang ,unknown
2617 W Glenlake Ave,Gang,unknown
3231 S Morgan St.,Gang,unknown
3201 S Lituanica Ave,Gang,unknown
843 W 33rd St,Gang,unknown
3403 W Wilson Ave,Gang,unknown
1019 N Ashland Ave,Gang,unknown
3738 W Lawrence Ave,Gang,unknown
4400 N Bernard St,Gang,unknown
N Damen Ave & W Haddon Ave,Stencil,unknown
N Ashland Ave & W Cortland St,Stencil,unknown
N Ashland Ave & W Fullerton Ave,Wheatpaste/sticker,unknown
N California Ave. & W Thomas St,Wheatpaste/sticker,unknown
W Logan Blvd & N Milwaukee Ave,Wheatpaste/sticker,unknown
Irving Park Rd & N Ashland Ave,Wheatpaste/sticker,unknown
N Milwaukee Ave & N Honore St,Stencil,unknown
N Milwaukee Ave & Homer St,Wheatpaste/sticker,unknown
Wicker Park,Wheatpaste/sticker,unknown
